shot_id,title_cn,title_en,duration,status,package,notes
SHOT045,风衣拉链,Coat Zipper,3.0,READY_FOR_VIDEO,Package005_Choice,Qi Zhou pulls the coat closed over the hidden box.
SHOT046,夜色降临,Night Falls,5.0,READY_FOR_VIDEO,Package006_Pressure,Gray Harbor's morning lamps glow as the city shifts into night routine.
SHOT047,巡检路口,Checkpoint,5.0,READY_FOR_VIDEO,Package006_Pressure,Two patrol workers check documents on a narrow road.
SHOT048,木盒贴身,Box Against Coat,4.0,READY_FOR_VIDEO,Package006_Pressure,Qi Zhou's hand touches the hidden box through his coat as he approaches patrol.
SHOT049,通过巡检,Passes Checkpoint,5.0,READY_FOR_VIDEO,Package006_Pressure,Qi Zhou passes the patrol without being stopped.
SHOT050,呼气,Exhale,3.0,READY_FOR_VIDEO,Package006_Pressure,Only after passing does Qi Zhou release a small breath.
SHOT051,闻雪衡档案,Wen's Notes,4.0,READY_FOR_VIDEO,Package006_Pressure,Wen writes Qi Zhou's name into her notebook under missing registration.
SHOT052,他说谎,He Lied,4.0,READY_FOR_VIDEO,Package006_Pressure,Wen writes: He lied.
SHOT053,站外观察者,Watcher Outside Station,5.0,READY_FOR_VIDEO,Package006_Pressure,A silent figure watches the collection station from across the street.
SHOT054,柜下蓝梦,Blue Under Counter,4.0,READY_FOR_VIDEO,Package006_Pressure,"The hidden crystal remains under the station counter, faintly blue."
SHOT055,还是来了,It Has Returned,5.0,READY_FOR_VIDEO,Package006_Pressure,The old man looks at the crystal and whispers that it has returned.
SHOT056,东桥夜色,East Bridge at Night,5.0,READY_FOR_VIDEO,Package007_Bridge,Qi Zhou walks slowly across a wet bridge under industrial lamps.
SHOT057,闻雪衡迎面,Wen Approaches,5.0,READY_FOR_VIDEO,Package007_Bridge,Wen Xueheng approaches from the opposite end of the bridge.
SHOT058,擦肩,Passing,4.0,READY_FOR_VIDEO,Package007_Bridge,They pass each other without stopping until Wen says his name.
SHOT059,祁昼回头,Qi Zhou Turns,4.0,READY_FOR_VIDEO,Package007_Bridge,Qi Zhou stops and slowly turns back.
SHOT060,路灯下的闻雪衡,Wen Under Lamp,5.0,READY_FOR_VIDEO,Package007_Bridge,"Wen stands under a lamp, calm and unreadable."
SHOT061,桥上对话,Bridge Conversation,6.0,READY_FOR_VIDEO,Package007_Bridge,They speak across distance; no one steps closer.
SHOT062,木盒目光,Eyes on the Box,4.0,READY_FOR_VIDEO,Package007_Bridge,Wen's gaze briefly lands on the box and then moves away.
SHOT063,可能记错了,Maybe It Was Misremembered,5.0,READY_FOR_VIDEO,Package007_Bridge,"Qi Zhou lies badly, saying it may have been misremembered."
SHOT064,分开,Separate Directions,5.0,READY_FOR_VIDEO,Package007_Bridge,They walk away in opposite directions across the bridge.
SHOT065,记录本,Notebook,4.0,READY_FOR_VIDEO,Package007_Bridge,Wen writes one line into her notebook.
SHOT066,祁昼家门,Qi Zhou's Door,4.0,READY_FOR_VIDEO,Package008_Home,Qi Zhou returns to a small worn room above an industrial street.
SHOT067,屋里无灯,No Light Inside,5.0,READY_FOR_VIDEO,Package008_Home,The small room is lit only by streetlamp glow through the window.
SHOT068,铁盆接水,Iron Basin,4.0,READY_FOR_VIDEO,Package008_Home,Water drops into an old iron basin under a roof leak.
SHOT069,挪盆,Moves the Basin,4.0,READY_FOR_VIDEO,Package008_Home,Qi Zhou moves the basin slightly as if this happens every day.
SHOT070,木盒上桌,Box on Table,4.0,READY_FOR_VIDEO,Package008_Home,The wooden-brass box is placed on the small table.
SHOT071,打开木盒,Box Opens at Home,5.0,READY_FOR_VIDEO,Package008_Home,Qi Zhou opens the box in the quiet room.
SHOT072,蓝梦更明显,Blue Is Stronger,5.0,READY_FOR_VIDEO,Package008_Home,The blue inside the crystal is stronger than before but still not glowing like a special effect.
SHOT073,收音机杂音,Radio Static,4.0,READY_FOR_VIDEO,Package008_Home,A small radio emits a brief distortion and returns to normal.
SHOT074,祁昼看向收音机,Looks to Radio,4.0,READY_FOR_VIDEO,Package008_Home,"Qi Zhou looks toward the radio, then back to the box."
SHOT075,藏起木盒,Hides the Box,5.0,READY_FOR_VIDEO,Package008_Home,Qi Zhou hides the box at home instead of returning it.
SHOT076,窗外路灯,Streetlamp Outside,4.0,READY_FOR_VIDEO,Package008_Home,A streetlamp outside flickers softly in the rain.
SHOT077,人影,The Figure,5.0,READY_FOR_VIDEO,Package008_Home,A distant figure stands under the streetlamp watching Qi Zhou's window.
SHOT078,祁昼不知道,Qi Zhou Does Not Know,4.0,READY_FOR_VIDEO,Package008_Home,"Inside, Qi Zhou remains unaware of the figure outside."
SHOT079,水滴,Water Drop,3.0,READY_FOR_VIDEO,Package008_Home,A single drop falls into the iron basin.
SHOT080,蓝梦轻震,Blue Dream Trembles,4.0,READY_FOR_VIDEO,Package008_Home,The blue dream crystal gives one subtle physical tremble.
SHOT081,广播明日作业,Tomorrow's Broadcast,5.0,READY_FOR_VIDEO,Package008_Home,The radio announces tomorrow's work schedule in a calm bureaucratic voice.
SHOT082,祁昼沉默,Qi Zhou Silent,5.0,READY_FOR_VIDEO,Package008_Home,Qi Zhou sits in silence beside the hidden secret.
SHOT083,窗外还在,Still Outside,4.0,READY_FOR_VIDEO,Package008_Home,"The watcher is still outside, unmoving."
SHOT084,黑前一滴水,Last Drop Before Black,3.0,READY_FOR_VIDEO,Package008_Home,One final water drop lands in the basin; the room sound falls away.
SHOT085,切黑,Cut to Black,2.0,READY_FOR_VIDEO,Package008_Home,Cut to black with only the last radio static lingering.
